acies | sharp edge, battle line
almities | kind behavior
avarities | greed, stinginess, meanness
balbuties | stammering
barbaries | foreign land, uncivilized races, brutality
blandities | flattery, compliment, charm
caesaries | hair, long/flowing/luxuriant hair
calvities | baldness
canities | grey hair, old age
caries | rot, corruption, decay
colluvies | muck, sewage
congeries | heap, mass, ruins, chaos
crassities | density, thickness
desidies | idleness
dies | day
digeries | disposition, arrangement
diluvies | flood, inundation, deluge, destruction (by water)
durities | hardness, strictness
effigies | copy, image, likeness, effigy, statue
eluvies | flowing out, discharge
esuries | hunger
facies | face, shape, beauty, appearance
fides | faith, loyalty, trust
glacies | ice
illuvies | dirt, filth
ingluvies | gullet, jaws, gluttony
intemperies | lack of temperateness (of weather, etc); outrageous behavior;
luxuries | luxury, extravagance
maceries | wall
macies | leanness, meagerness, poverty
materies | wood, lumber, timber material, matter, food/fuel
medidies | noon, midday 
mollities | softness, tenderness, weakness
mundities | cleanness, elegance (of appearance)
muries | brine, salt liquor, pickling
nigrities | blackness, black color
pauperies | poverty
permities | destruction, annihilation
pernicies | ruin, disaster, calamity, mischief
planities | plain, plateau, flatness
progenies | race, family, progeny
proluvies | overflow, flood, bodily discharge
rabies | madness
res | thing, stuff, event/affair/buissness, fact, cause
respublica | republic
sanies | ichorous/bloody matter, puss discharged from a wound
scabies | itch, mange
segnities | sluggishness, inertia, weakness
series | row, series, secession, chain, train
species | sight, appearance, beauty, type
spes | hope
spurcities | filthiness, dirt 
subluvies | filth, dirt
superficies | top, surface, upper layer
temperies | proper mixture, temper
tristities | sadness, sorrow
vastities | ruin, destruction
