agricola, agricolae (m) | farmer
amicitia, amicitiae (f) | friendship
ancilla, ancillae (f) | slave-girl
anima, animae (f) | current of air, soul
ara, arae (f) | altar
audacia, audaciae (f) | daring, courage, bravery, valor
aura, aurae (f) | air, breeze, wind
avaritia, avaritiae (f) | greed, avarice
cena, cenae (f) | dinner
copia, copiae (f) | abundance, ample supply, resource (pl. forces)
corona, coronae (f) | garland, chaplet, crown, circle
cura, curae (f) | trouble, care, attention, diligence
dea, deae (f) | goddess
diligentia, diligentiae (f) | attentiveness, earnestness, diligence
disciplina, disciplinae (f) | instruction, tuition, training, education
divitiae, divitarum (f.pl) | riches, wealth
domina, dominae (f) | mistress
eloquentia, eloquentiae (f) | eloquence
epistula, epistulae (f) | letter
fabula, (f) | story, tale, play
fama, (f) | report, rumor, reputation
femina, (f) | woman
filia, (f) | daughter
flamma, (f) | blazing fire, blaze, flame
fortuna, (f) | luck
fuga, (f) | flight, running away
gloria, gloriae (f) | glory, fame, renown, honor
gratia, gratiae (f) | favour, esteem, regard, partiality
harena, harenae (f) | sandy, sandy place
hasta, hastae (f) | spear
hora, horae (f) | hour
ianua, ianuae (f) | door, house-door, entrance
ignominia, ignominiae (f) | disgrace, dishonour, ignominy
iniuria, iniuriae (f) | injustice, wrong, outrage, injury
inopia, inopiae (f) | want, lack, scarcity
insidiae, insidiarum (f.pl) | snare, trap, ambush
insula, insulae (f) | island, block of flats
invidia, invidiae (f) | envy, grudge, jealousy
ira, irae (f) | anger, ire, wrath, rage
iustitia, iustitiae (f) | justice, equity, righteousness, uprightness
licentia, licentiae (f) | freedom, wantonness, license, dissoluteness
littera, litterae (f) | letter, alphabetical sign
luna, lunae (f) | moon
memoria, (m) | memory, remembrance
minae, (m) | projecting points, pinnacles, threats
misericordia, (m) | pity, compassion, sympathy, mercy
natura, (n) | nature, inclination, character, birth
nauta, (n) | sailor, boatman, mariner, seaman
opera, operae (f) | service, exertion, work, labor
ora, orae (f) | border, boundary, limit, shore
palma, palmae (f) | palm, flat hand, palm tree
patria, patriae (f) | homeland
pecunia, pecuniae (f) | money, wealth, property
pirata, piratae (m) | sea robber, pirate
poena, poenae (f) | compensation, punishment, recompense, penalty
poeta, poetae (m) | poet
pompa, pompae (f) | procession, parade
potentia, potentiae (f) | might, force, power, capacity
praeda, praedae (f) | booty, spoil, plunder
prora, -ae (f) | forepart of a ship, bow, prow
provincia, provinciae (f) | office, duty, province, command
prudentia, prudentiae (f) | foreseeing, knowledge, good sense
pugna, -pugnae (f) | fight, battle, combat, engagement
regina, reginae (f) | queen
ripa, ripae (f) | river bank
rosa, rosae (f) | rose
ruina, ruinae (f) | rushing down, downfall, catastrophe, destruction
sapientia, sapientiae (f) | good taste, discretion, intelligence, wisdom
scientia, scientiae (f) | knowledge, intelligence
sententia, sententiae (f) | opinion, judgement, sentiment
silva, silvae (f) | wood, forest, woodland
tenebrae, tenebrarum (f.pl) | darkness, gloom
toga, togae (f) | toga
tuba, tubae (f) | trumpet
turba, turbae (f) | commotion, disorderly crowd, throng
umbra, umbrae (f) | shadow, shade (ghost)
unda, undae (f) | wave, water
venia, veniae (f) | indulgence, kindness, mercy
victoria, victoriae (f) | victory, prestige, success
vigilia, vigiliae (f) | watch, wakefulness, sleeplessness, keeping watch
villa, villae (f) | house, farm, country house
vita, vitae (f) | life
abstinentia, ae, (f) | abstinence
adulta, ae, (f) | adult/grown-up woman
āla, ae, (f) | wing
angīna, ae, (f) | angina
aorta, ae, (f) | aorta
apertūra, ae, (f) | opening
ārea, ae, (f) | area
āreola, ae, (f) | areola/small area
artēria, ae, (f) | artery
artēriola, ae, (f) | small artery
bēstia, ae, (f) | beast
bucca, ae, (f) | cheek
bursa, ae, (f) | small sack
calvāria, ae, (f) | skull
capsula, ae, (f) | capsule
caverna, ae, (f) | cavern
cellula, ae, (f) | cell
clāvicula, ae, (f) | collar bone/clavicle
columna, ae, (f) | column
comissūra, ae, (f) | commissure (junction)
coinūnctīva, ae, (f) | conjunctiva/protective layer lining eyelids
corōna, ae, (f) | crown
costa, ae, (f) | rib
crista, ae, (f) | ledge
cupula, ae, (f) | small, inverted cup or dome-shaped cap over a structure
curvātūra, ae, (f) | curvature
cuticula, ae, (f) | epidermis
diphtheria, ae, (f) | diphtheria
ēminentia, ae, (f) | eminence
fascia, ae, (f) | sheet of connective tissue
fēmina, ae, (f) | woman
fibula, ae, (f) | fibula
fissūra, ae, (f) | fissure
fossa, ae, (f) | pit
frāctura, ae, (f) | fracture
glandula, ae, (f) | gland
glōssa, ae, (f) | tongue
gravida, ae, (f) | pregnant woman
gutta, ae, (f) | drop
hernia, ae, (f) | bulge
hōra, ae, (f) | hour
incīsūra, ae, (f) | indentation/notch
insufficientia, ae, (f) | functional disability
iūnctura, ae, (f) | junction
lagoena, ae, (f) | bottle
lingua, ae, (f) | tongue
mamilla, ae, (f) | nipple
mamma, ae, (f) | breast/mamma gland
mandibula, ae, (f) | lower jaw
maxilla, ae, (f) | upper jaw
medicīna, ae, (f) | medicine
medulla, ae, (f) | marrow
membrāna, ae, (f) | membrane
mucōsa, ae, (f) | layer producing mucous
nātūra, ae, (f) | nature
nausea, ae, (f) | that state that precedes vomiting
neonāta, ae, (f) | newborn - girl
olla, ae, (f) | ointment jar
orbita, ae, (f) | orbit
palpebra, ae, (f) | eyelid
papilla, ae, (f) | nipple-shaped eminence
patella, ae, (f) | kneecap
pausa, ae, (f) | pause/stop
pilula, ae, (f) | pill
planta, ae, (f) | sole/plant
prostata, ae, (f) | prostate gland
pūpilla, ae, (f) | pupil
pȳaemia, ae, (f) | presence of pyogenic organism in blood
resistentia, ae, (f) | resistance
rīma, ae, (f) | fissure
rubeola, ae, (f) | rubella
rūptūra, ae, (f) | burst/split
salīva, ae, (f) | spittle (saliva)
scapula, ae, (f) | shoulder blade
scarlatīna, ae, (f) | scarlet fever
scatula, ae, (f) | box
spīna, ae, (f) | spine/thorn/spike
stella, ae, (f) | star
stīlla, ae, (f) | drop
substantia, ae, (f) | substance
sūtūra, ae, (f) | suture - anatomical and surgical
taenia, ae, (f) | strip
tībia, ae, (f) | shin bone
tinctūra, ae, (f) | tincture
tōnsilla, ae, (f) | tonsil
tunica, ae, (f) | coat/layer
ulna, ae, (f) | medial forearm bone
ūrina, ae, (f) | urine
ūvula, ae, (f) | uvula
vāgīna, ae, (f) | sheath
varicella, ae, (f) | chickenpox
variola, ae, (f) | smallpox
vēna, ae, (f) | vein
vertebra, ae, (f) | spondyle
vēsīca, ae, (f) | bladder
aqua, aquae (f) | water
barba, barbae (f) | beard
causa, causae (f) | cause, reason, motive, inducement
forma, (f) | form, contour, figure, shape
lacrima, lacrimae (f) | tear
mora, (m) | delay, procrastination
porta, portae (f) | gate, city gate
puella, puellae (f) | girl
summa, summae (f) | summit, top, highest rank
tabula, tabulae (f) | board, plank, writing tablet
terra, terrae (f) | land
via, viae (f) | street, road
aegrōtus, ī, (m) | a patient
ātrium, īī, (n) | atrium, upper chamber of the heart
cholēdochus, ī, (m) | bile duct
cōlon, ī, (n) | large intestine
crānium, ī, (n) | skull
dēlīrium, ī, (n) | delirium
extrāctum, ī, (n) | extract
guttātōrium, ī, (n) | dropper
iēiūnum/jejūnum, ī, (n) | jejunum/second part of the small intestine
īleus, ī, (m) | intestinal obstruction
īnstrūmentum, ī, (n) | instrument
intestīnum, ī, (n) | instrument
intestīnum, ī, (n) | intestin
ligāmentum, ī, (n) | ligament
medicāmentum, ī, (n) | remedy
morbillī, ōrum, (m) | measles
mūsculus, ī, (m) | small mouse/muscle
nāsus, ī, (m) | nose
neonātus, ī, (m) | newborn boy
ōrificium, ī, (n) | orifice/entrance/opening
ōstium, ī, (n) | orifice/entrance/port
ōvārium, ī, (n) | ovary
perīculum, ī, (n) | danger
peur, ī, (m) | boy
rāmus, ī, (m) | branch
rēctum, ī, (n) | rectum, upright gut
saeptum, ī, (n) | fold/thin partition
scrīptum, ī, (n) | manual/textbook
sedātivum, ī, (n) | sedative (remedy)
spūtum, ī, (n) | sputum
suppositōrium, ī, (n) | suppository/insertion
thȳmus, ī, (m) | thymus
tūberculum, ī, (n) | small tubercle
venēnum, ī, (n) | venom/poison
vībum, ī, (n) | wine
vīrus, ī, (n) | virus
acromion, i, (n) | acromion
aegrotus, i, (m) | patient
antebrachium, i, (n) | forearm
anus, i, (m) | anus
atrium, i, (n) | atrium - upper chamber of the heart
bulbus, i, (m) | bulb, eyeball
choledochus, i, (m) | bile duct
colon, i, (n) | (G) large intestine
cranium, i, (n) | skull
delirium, i, (n) | delirium
extractum, i, (n) | extract
ganglion, i, (n) | (G) ganglion
guttatorium, i, (n) | dropper
