aegrōtus, ī, m | a patient
ātrium, īī, n | atrium, upper chamber of the heart
cholēdochus, ī, m | bile duct
cōlon, ī, n | large intestine
crānium, ī, n | skull
dēlīrium, ī, n | delirium
extrāctum, ī, n | extract
guttātōrium, ī, n | dropper
iēiūnum/jejūnum, ī, n | jejunum/second part of the small intestine
īleus, ī, m | intestinal obstruction
īnstrūmentum, ī, n | instrument
intestīnum, ī, n | instrument
intestīnum, ī, n | intestin
ligāmentum, ī, n | ligament
medicāmentum, ī, n | remedy
morbillī, ōrum, m | measles
mūsculus, ī, m | small mouse/muscle
nāsus, ī, m | nose
neonātus, ī, m | newborn boy
ōrificium, ī, n | orifice/entrance/opening
ōstium, ī, n | orifice/entrance/port
ōvārium, ī, n | ovary
perīculum, ī, n | danger
peur, ī, m | boy
rāmus, ī, m | branch
rēctum, ī, n | rectum, upright gut
saeptum, ī, n | fold/thin partition
scrīptum, ī, n | manual/textbook
sedātivum, ī, n | sedative (remedy)
spūtum, ī, n | sputum
suppositōrium, ī, n | suppository/insertion
thȳmus, ī, m | thymus
tūberculum, ī, n | small tubercle
venēnum, ī, n | venom/poison
vībum, ī, n | wine
vīrus, ī, n(!!!) | virus
acromion, i, n | acromion
aegrotus, i, m | patient
antebrachium, i, n | forearm
anus, i, m | anus
atrium, i, n | atrium - upper chamber of the heart
bulbus, i, m | bulb, eyeball
choledochus, i, m | bile duct
colon, i, n | (G) large intestine
cranium, i, n | skull
delirium, i, n | delirium
extractum, i, n | extract
ganglion, i, n | (G) ganglion
guttatorium, i, n | dropper
ieiunum/jejunum, i, n | jejunum/ second part of the small intestine
ileus, i, m | intestinal obstruction
instrumentum, i, n | instrument
intestinum, i, n | intestine
ligamentum, i, n | ligament
medicamentum, i, n | remedy
methodus, i, f | method
morbilli, o | rum, m measles
musculus, i, m | muscle
nasus, i, m | nose
neonatus, i, m | newborn boy
nucleus, i, m | core, nucleus
olecranon, i, n | (G) olecranon
orificium, i, n | orifice/entrance/opening
ostium, i, n | orifice/entrance
ovarium, i, n | ovary
pylorus, i, m | pylorus (part of stomach)
ramus, i, m | branch
rectum, i, n | rectum, upright gut
scriptum, i, n | manual/textbook
sedativum, i, n | sedative (remedy)
septum, i, n | thin partition
sputum, i, n | sputum
suppositorium, i, n | suppository/insertion
thymus, i, m | thymus
tuberculum, i, n | small tubercle
venenum, i, n | venom/poison
virus, i, n | virus
maritus | husband
modus | measure, manner, kind
mundus | world, universe, heavens
murus | wall
natus | son
negotium | business
nuntius | messenger, news
odium | hatred
officium | service, duty
oppidum | town
otium | leisure
pontus | the open sea, the deep
populus | people
praeceptum | rule, precept, command
praemium | bounty, reward
praesidium | garrison, protection
pretium | price, worth, reward
principium | beginning
proelium | battle
regnum | kingship, kingdom
reus | defendant
saeculum | generation, age, century
saxum | rock, cliff, crag
sepulcrum | place of burial, tomb, grave
servus | slave
somnus | sleep, slumber
studium | eagerness, zeal
superi | those above
supplicum | punishment, penalty
tectum | roof; building, house
telum | missile, weapon, spear
templum | consecrated ground, temple
tergum | back, rear
tribunus | tribune
ventus | wind
verbum | word
vestigium | footstep, footprint, track
vinculum | bond, fetter, tie
votum | solemn promise, vow, hope
vulgus | the common people
aevum | age
ager | field
animus | spirit
argentum | silver
arma | arms
arvum | field
astrum | star
auxilium | assistance
barbarus | barbarian
bellum | war
beneficium | kindness
caelum | sky
campus | plain
castrum | fortress
consilium | council
convivium | feast
damnum | damage
deus | god
dolus | device
dominus | mistress
donum | gift
equus | horse
exemplum | example
exsilium | exile
factum | deed
fatum | fate
ferrum | iron
forum | forum
frumentum | grain
gaudium | delight
gladius | sword
humus | ground
imperium | power
ingenium | talent
initium | beginning
iudicium | judgment
iugum | yoke
legatus | envoy
liber | book
acidum, ī, n | acid
adultus, ī, m | adult/grown-up man
angulus, ī, m | angle
annus, ī, m | year
annus, ī, m | year
atomus, ī, f(!!) | atomus
bacillus, ī, m | bacillus/germ
bonum, ī, n | the good/a good thing
caecum, ī, n | caecum/blind intestine
cancer, cancrī, m | crab, carcinoma
capitulum, ī, n | small head
carpus, ī, m | wrist
cavum, ī, n | cave/cavity
cerebellum, ī, n | small brain
cerebrum, ī, n | brain
cibus, ī, m | meal/food
cibus, ī, m | meal/food
circulus, ī, m | circle
collum, ī, n | neck
condylus, ī, m | condyle
cubitus, ī, m | elbow
diameter, ī, f(!!) | diameter
digitus, ī, m | finger
dorsum, ī, n | the back
ductulus, ī, m | small duct
duodenum, ī, n | duodenum
emplastrum, ī, n | plaster
fundus, ī, m | bottom, base of an organ
humerus, ī, m | upper arm bone
icterus, ī, m | jaundice
isthmus, ī, m | narrow passage
labium, ī, n | lip
lobus, ī, m | lobe
magister, trī, m | pharmacist/teacher
magister, trī, m | pharmacist/teacher
manubrium, ī, n | handle
medicus, ī, m | doctor/physician
morbus, ī, m | illness/disease
morbus, ī, m | illness/disease
nervus, ī, m | nerve
numerus, ī, m | number
numerus, ī, m | number
oculus, ī, m | eye
oculus, ī, m | eye
oesophagus, ī, m | gullet
oleum, ī, n | oil
organum, ī, n | organ
pericardium, ī, n | pericardium
periodus, ī, f(!!) | period
radius, ī, m | radius
remedium, ī, n | remedy
scalpellum, ī, n | scalpel
signum, ī, n | symptom
signum, ī, n | symptom
sirupus, ī, m | syrup
spasmus, ī, m | spasm
spatium, ī, n | space
spatium, ī, n | space
sternum, ī, n | breast bone
sulcus, ī, m | furrow
tetanus, ī, m | tetanus
toxicum, ī, n | poison
typhus, ī, m | typhus
unguentum, ī, n | ointment
uterus, ī, m | womb
ventriculus, ī, m | ventricle/small cavity
vestibulum, ī, n | vestibule/large entrance
vir, ī, m | man
vir, ī, m | man
vitium, ī, n | defect
vitium, ī, n | defect
vitrum, ī, n | glass
locus, i, m | location, place
membrum, i, n | extremity
periculum, i, n | danger
puer, pueri, m | boy
vinum, i, n | wine
