adeps, adipis m | fat
aether, aetheris m | ether
calor, caloris m | warmth
carbo, carbonis m | coal (anthrax) - disease)
cortex, corticis m | bark
latex, laticis m | latex
lichen, lichenis m | lichen, moss
lien, lienis m | spleen
liquor, liquoris m | liquor
odor, odoris m | smell
pulmo, pulmonis m | lung
pulvis, pulveris m | powder
ren, renis m | kidney
sapo, saponis m | soap
stipes, stipitis m | stipe (a stalk or stem of a seaweed or fungus)
sudor, sudoris m | sweat
tendo, tendinis m | tendon
thorax, thoracis m | thorax
tremor, tremoris m | tremor, trembling
tumor, tumoris m | tumor, swelling
vapor, vaporis m | vapor
absorbtio, absorbtionis f | absorption
anxietas, anxietatis f | anxiety
appendix, appendicis f | appendix, appendage
applicatio, applicationis f | application
articulatio, articulationis f | joint
cartilago, cartilaginis f | cartilage
cervix, cervicis f | neck
cicatrix, cicatricis f | scar, cicatrix
contusio, contusionis f | contusion, bruise
destillatio, destillationis f | distillation
digestio, digestionis f | digestion
dilatatio, dilatationis f | dilatation (the action of dilating)
dosis, dosis f | dose
emulsio, emulsionis f | emulsion
excretio, excretionis f | excretion
extractio, extractionis f | extraction
extremitas, extemitatis f | limb
faex, faecis f | yeast
graviditas, graviditatis f | pregnancy
infusio, infusionis f | intravenous infusion
inhalatio, inhalationis f | inhalation
injectio, injectionis f | injection
laesio, laesionis f | injury, lesion
lotio, lotionis | lotion
maceratio, macerationis f | maceration (soften via liquid), soaking
mucilago, mucilaginis f | mucilage (gelatinous substance of some plants)
nux, nucis f | nut
obestias, obesitatis f | obesity
obstipatio, obstipationis f (constipatio) | constipation
percolatio, percolationis f | percolation (filter through a porous surface)
pix, picis f | resin, tar
praeparatio, preparationis f | dosage form
prurigo, pruriginis f | itching
radix, radicis f | root
solutio, solutionis f | solution
suspensio, suspensionis f | suspension
vertigo, vertiginis f | vertigo, dizziness
alumen, aluminis n | alum (potassium aluminium sulfate)
elixir, elixiris n | elixir
lac, lactis n | milk
pancreas, pancreatis n | pancreas
pectus, pectoris n | chest
pondus, ponderis n | weight
pus, puris n | pus, foul matter (from a sore), bitterness
rhizoma, atis n | rhizome
semen, seminis n | seed
stigma, stigmatis n | mark branded onto runaway slaves/criminals
Sulfur, Sulfuris n | sulfur
tuber, tuberis n | root, tumor, bump
ulcus, ulceris n | ulcer
vas, vasis n | vessel
agger, aggeris, m. | rampart
auctoritas, auctoritatis, f. | authority, power
certamen, certaminis, n. | contest, struggle
crux, crucis, f. | cross
cupido, cupidinis, f. | desire, passion
dedecus, dedecoris, n. | disgrace
decus, decoris, n. | honour
dictator, dictatoris, m. | dictator
dignitas, dignitatis, f. | worth, dignity
equites, equitum, m. pl. | cavalry
fames, famis, f. | hunger
fons, fontis, m. | fountain
fraus, fraudis, f. | deceit; trickery
frigus, frigoris, n. | cold
ius, iuris, n. | law, right
iudex, iudicis, m. | judge
multido, multitudinis, f. | crowd
moenia, moenium, n. pl. | city walls
munitio, munitionis, f. | fortification
munus, muneris, n. | reward
nemo, neminis, m/f | no one
nubes, nubis, f. | cloud
occasio, occasionis, f. | opportunity
onus, oneris, n. | burden
ops, opis, f. | help
opes, opium, f. pl. | wealth
ordo, ordinis, m. | order, rank
orator, oratoris, m. | speaker
oratio, orationis, f. | speech
os, ossis, n. | bone
parens, parentis, m/f | parent
pes, pedis, m. | foot
pedites, peditum, m. pl. | infantry
plebs, plebis, f. | common people
pons, pontis, m. | bridge
potestas, potestatis, f. | power
princeps, principis, m. | chief, leader
rex, regis, m. | king
religio, religionis, f. | religion
rus, ruris, n. | countryside
sacerdos, sacerdotis, m. | priest, priestess
salus, salutis, f. | safety
sanguis, sanguinis, m. | blood
scelus, sceleris, n. | crime
sedes, sedis, f. | seat, residence
senex, senis, m. | old man
senator, senatoris, m. | senator
servitudo, servitudinis, f. | slavery
sol, solis, m. | sun
statio, stationis, f. | guard post, position
uxor, uxoris, f. | wife
vallis, vallis, f. | valley
ver, veris, n. | spring
veritas, veritatis, f. | truth
vesper, vesperis, m. | evening
vestis, vestis, f. | clothes
virgo, virginis, f. | maiden
ariēs, arietis (m) | ram
centuriō, centuriōnis m. | centurion
clāmor, clāmōris, m. | to shout
color, coloris, m | color
cōnsul, cōnsulis, m. | consul
dēfēnsor, dēfēnsōris m. | defender
dictātor, dictātōris, m. | dictator
dolor, doloris, m. | pain, grief
explorātor, explorātōris, m. | scout
frāter, fratris m. | brother
gladiātor, gladiātōris, m. | gladiator
imperātor, imperātōris, m. | general, emperor
leō, leōnis, m. | lion
maiōrēs, maiōrum, m. pl. | ancestors
mercātor, mercātōris, m. | merchant
mīles, mīlitis, m. | soldier
mōs, mōris, m. | custom
nēmo, nēminis/nūllius m. | no one
obses, obsidis, m. | hostage
ōrātor, ōrātōris, m. | orator, speaker
ōrdō, ōrdinis, m. | rank, line, order
pedes, peditis, m. | infantryman
pēs, pedis, m. | foot
praetor, praetoris, m | praetor, judge
prīnceps, prīncipis, m. | chief, emperor
quaestor, quaestoris m. | treasurer, quaestor
rēx, rēgis, m. | king
senātor, senātōris, m. | senator
sōl, sōlis, m. | sun
terror, terroris m. | terror
victor, victoris, m. | victor, conqueror
facultas, facultatis, f. | opportunity, faculty
lātitūdō, lātitūdinis, f. | width
lēgatio, lēgationis, f. | embassy
legiō, legiōnis, f. | legion
lēx, lēgis, f. | law
lībertās, lībertātis, f. | freedom
māter, mātris, f. | mother
multitudo, multitudinis, f. | crowd
mūnitio, mūnitionis, f. | fortification
nātio, nātiōnis, f. | nation, tribe
nōbilitas, nōbilitātis, f. | nobility
obsidio, obsidionis, f. | siege
occāsiō, occāsiōnis, f. | occasion, opportunity
oppugnatio, oppugnationis, f. | attack
ōrātiō, ōrātiōnis, f. | speech
pax, packs, f. | peace
plēbs, plēbis f. | common people
possessiō, possessiōnis f. | possession
potestās, potestātis, f. | power
profectiō, profectiōnis, f. | departure
ratiōnēs, ratiōnum, f. | plan
regiō, regiōnis, f. | region
salūs, salūtis, f. | safety, health, welfare
suspīciō, suspīciōnis f | suspicion
tempestas, tempestatis, f. | weather, storm
vis, vis, f. | force, power, violence
voluntas, voluntatis f. | will, wish
adulēscēns, adulēscentis m. | young man
cīvis, cīvis, m./f. | citizen
cliēns, -entis, m. | client
fīnis, fīnis, m. | end, boundary
finēs, finium, m. (pl.) | boundaries, territory
hostis, hostis, m. | enemy, host
īgnis, īgnis, (m.) | fire
mēnsis, mēnsis, m. | month
mōns, montis, m. | mountain
pōns, pontis, m. | bridge
altitudo, altitudinis, f. | altitude
arx, arcis, f. | citadel, stronghold
auctōritās, auctōritātis, f. | influence, authority
calamitas, calamitatis, f. | disaster, calamity
condicio, condicionis f. | terms, condition, agreement
consuetudo, consuetudinis, f. | custom
cupiditas, cupiditatis, f. | desire
deditio, deditionis (f) | to surrender
difficultas, difficultatis, f. | difficulty
valles, vallis f. | valley
iūs, iūris, n. | right, justice, law
latus, lateris n. | side
nihil, nihilis, n. | nothing
opus, operis, n. | to work
examplar, examplaris, n | example
abdomen, abdominis n. | abdomen
accipiter, accipitris c. | hawk
actor, actoris m. | actor
aedificator, aedificatoris m. | builder
aestas, aestatis f. | summer
agmen, agminis n. | column of march
alces, alcis f. | moose
Allobroges, -um m. pl. | The Allobroges (Gallic)
amor, amoris m. | love
anas, anatis f. | duck
anser, anseris m. | goose
apis, apis f. | bee
Apollo, Apollinis m. | Apollo
aptenodyctes, aptenodyctis f. | penguin
Arausio, Arausionis f. | Arausio
Arelate, n. | Arelate
aries, arietis m. | ram
aristis, aristidis f. | vegetable
ars, artis f. | art, skill
auris, auris f. | ear
avis, avis f. | bird
Bistones, -um m. pl. | The Bistones (Thracian)
bos, bovis f. | cow
bubo, bubonis m. | owl
bufo, bufonis m. | toad
calx, calcis c. | heel
camelopardis, camelopardis f. | giraffe
cancer, canceris m. | crab
canis, canis c. | dog
Caralis, Caralis f. | Caralis
carmen, carminis n. | song, poem
caro, carnis f. | meat, flesh
Carthago, Carthaginis f. | Carthage
celeritas, celeritatis f. | speed
centurio, centurionis m. | centurion
Ceres, -eris f. | Ceres
cereal, cerealis n. | cereal
Charybdis, Charybdis f. | Charybdis
cimex, cimicis c. | bug
civis, civis c. | citizen
clades, cladis f. | disaster, defeat
clamor, clamoris m. | shout
classis, classis f. | fleet
clunis, clunis m. | bottom
comes, comitis c. | companion
consul, consulis m. | consul
coniunx, coniugis c. | wife, husband
cor, cordis n. | heart
cornix, cornicis f. | crow
coturnix, coturnicis f. | quail
crus, cruris n. | leg
cucumis, cucumeris m. | cucumber
culex, culicis m. | mosquito
Cupido, Cupidis m. | Cupid
custos, custodis m. | guard
cutis, cutis f. | skin
cyclops, cyclopis m. | cyclops
decurio, decurionis m. | decurion
dens, dentis m. | tooth
Druides, -um m. pl. | Druids
dux, ducis m. | leader
explorator, exploratoris m. | scout
falco, falconis m. | falcon
fel, fellis n. | gallbladder
feles, felis f | cat
femur, femoris n. | thigh
finis, finis m. | end
flos, floris m. | flower
foedus, foederis n. | treaty
frons, frontis f. | forehead
funditor, funditoris m. | slinger
funis, funis m. | rope
frater, fratris m. | brother
fullo, fullonis m. | cloth-fuller
fur, furis m. | thief
furor, furoris m. | fury
gallopavo, gallopavonis m. | turkey
gens, gentis f. | race
genus, generis n. | sort, kind
gigas, gigantis m. | giant
gingiber, gingiberis n. | ginger
gladiator, gladiatoris m. | gladiator
gorgo, gorgonis f. | gorgon
grex, gregis m. | herd
grus, grusis c. | crane
gryps, grypis m. | griffin
Hannibal, Hannibalis m. | Hannibal
Hasdrubal, Hasdrubalis m. | Hasdrubal
Hercules, -is -i m. | Hercules
honor, honoris m. | honour
hospes, hospitis m. | guest, host
hostes, hostium c. | enemy
iecur, iecoris n. | liver
ignis, ignis m. | fire
imperator, imperatoris m. | emperor, general
infans, infantis c. | infant
